WOS_monosyllabic	sounds_quality
квас					O	O	<NUCL>	O				
квиз					O	O	<NUCL>	O				
квит					O	O	<NUCL>	O				
кеј						O	<NUCL>	S				
кекс						O	<NUCL>	O	O			
Келт						O	<NUCL>	S	O			
кељ						O	<NUCL>	S				
кец						O	<NUCL>	O				
кеш						O	<NUCL>	O				
кикс						O	<NUCL>	O	O			
килт						O	<NUCL>	S	O			
ким						O	<NUCL>	S				
кип						O	<NUCL>	O				
кир						O	<NUCL>	S				
кир						O	<NUCL>	S				
кит						O	<NUCL>	O				
кич						O	<NUCL>	O				
кич						O	<NUCL>	O				
клан					O	S	<NUCL>	S				
клас					O	S	<NUCL>	O				
клед					O	S	<NUCL>	O				
клен					O	S	<NUCL>	S				
клер					O	S	<NUCL>	S				
клет					O	S	<NUCL>	O				
клет					O	S	<NUCL>	O				
клик					O	S	<NUCL>	O				
клин					O	S	<NUCL>	S				
клинч					O	S	<NUCL>	S	O			
клип					O	S	<NUCL>	O				
клир					O	S	<NUCL>	S				
кловн					O	S	<NUCL>	O	S			
клон					O	S	<NUCL>	S				
клуб					O	S	<NUCL>	O				
клун					O	S	<NUCL>	S				
клуч					O	S	<NUCL>	O				
кмет					O	S	<NUCL>	O				
кнез					O	S	<NUCL>	O				
ко						O	<NUCL>					
коб						O	<NUCL>	O				
ков						O	<NUCL>	O				
код						O	<NUCL>	O				
кој						O	<NUCL>	S				
кок						O	<NUCL>	O				
кокс						O	<NUCL>	O	O			
кол						O	<NUCL>	S				
колк						O	<NUCL>	S	O			
кон						O	<NUCL>	S				
коњ						O	<NUCL>	S				
коп						O	<NUCL>	O				
кор						O	<NUCL>	S				
кос						O	<NUCL>	O				
кос						O	<NUCL>	O				
кот						O	<NUCL>	O				
коч						O	<NUCL>	O				
кош						O	<NUCL>	O				
краг					O	S	<NUCL>	O				
крај					O	S	<NUCL>	S				
крај					O	S	<NUCL>	S				
крак					O	S	<NUCL>	O				
крал					O	S	<NUCL>	S				
крамп					O	S	<NUCL>	S	O			
кран					O	S	<NUCL>	S				
крап					O	S	<NUCL>	O				
крас					O	S	<NUCL>	O				
крах					O	S	<NUCL>	O				
крбла			O	S	O	S	<NUCL>					
крбло			O	S	O	S	<NUCL>					
крвав				O	S	O	<NUCL>	O				
крвен				O	S	O	<NUCL>	S				
крви				O	S	O	<NUCL>					
крвник			O	S	O	S	<NUCL>	O				
крвно			O	S	O	S	<NUCL>					
крдак				O	S	O	<NUCL>	O				
крдар				O	S	O	<NUCL>	S				
крди				O	S	O	<NUCL>					
крем					O	S	<NUCL>	S				
креп					O	S	<NUCL>	O				
креч					O	S	<NUCL>	O				
крже				O	S	O	<NUCL>					
крзнар			O	S	O	S	<NUCL>	S				
крзнен			O	S	O	S	<NUCL>	S				
крзно			O	S	O	S	<NUCL>					
крив					O	S	<NUCL>	O				
крик					O	S	<NUCL>	O				
крин					O	S	<NUCL>	S				
крка				O	S	O	<NUCL>					
кркач				O	S	O	<NUCL>	O				
кркач				O	S	O	<NUCL>	O				
кркма			O	S	O	S	<NUCL>					
кркне			O	S	O	S	<NUCL>					
кркор				O	S	O	<NUCL>	S				
кркот				O	S	O	<NUCL>	O				
кркуш				O	S	O	<NUCL>	O				
кркче			O	S	O	O	<NUCL>					
крла				O	S	S	<NUCL>					
крлеж				O	S	S	<NUCL>	O				
крлик				O	S	S	<NUCL>	O				
крлук				O	S	S	<NUCL>	O				
крма				O	S	S	<NUCL>					
